,time,input_alpha,output_force_left,output_force_right,output_force_total
0,0.010127544403076172,0.0,8.7,11.499999999999998,10.099999999999998
1,0.12886810302734375,1.0,8.7,11.499999999999998,10.099999999999998
2,0.13899517059326172,1.0,8.7,11.499999999999998,10.099999999999998
3,0.1491549015045166,1.0,8.7,11.499999999999998,10.099999999999998
4,0.1593317985534668,1.0,8.7,11.499999999999998,10.099999999999998
5,0.16952204704284668,1.0,8.7,11.499999999999998,10.099999999999998
6,0.1797046661376953,1.0,8.7,11.499999999999998,10.099999999999998
7,0.18984484672546387,1.0,8.7,11.499999999999998,10.099999999999998
8,0.20000553131103516,1.0,8.7,11.499999999999998,10.099999999999998
9,0.21019411087036133,1.0,8.7,11.499999999999998,10.099999999999998
10,0.2203676700592041,1.0,8.7,11.499999999999998,10.099999999999998
11,0.23053669929504395,1.0,8.7,11.499999999999998,10.099999999999998
12,0.24071431159973145,1.0,8.7,11.499999999999998,10.099999999999998
13,0.2508554458618164,1.0,8.7,11.499999999999998,10.099999999999998
14,0.26101231575012207,1.0,8.7,11.499999999999998,10.099999999999998
15,0.2711958885192871,1.0,8.7,11.499999999999998,10.099999999999998
16,0.28134918212890625,1.0,8.7,11.499999999999998,10.099999999999998
17,0.2915074825286865,1.0,8.7,11.499999999999998,10.099999999999998
18,0.30165886878967285,1.0,8.7,11.499999999999998,10.099999999999998
19,0.311800479888916,1.0,8.7,11.499999999999998,10.099999999999998
20,0.32195544242858887,1.0,8.7,11.499999999999998,10.099999999999998
21,0.3321077823638916,1.0,8.7,11.499999999999998,10.099999999999998
22,0.34224653244018555,1.0,8.7,11.499999999999998,10.099999999999998
23,0.352402925491333,1.0,8.7,11.499999999999998,10.099999999999998
24,0.36255598068237305,1.0,8.7,11.499999999999998,10.099999999999998
25,0.3727288246154785,1.0,8.7,11.499999999999998,10.099999999999998
26,0.382918119430542,1.0,8.7,11.499999999999998,10.099999999999998
27,0.39312005043029785,1.0,8.7,11.499999999999998,10.099999999999998
28,0.40324878692626953,1.0,8.7,11.499999999999998,10.099999999999998
