time,input_alpha,output_force_left,output_force_right,output_force_total
0.010192155838012695,0.0,16.1,11.899999999999999,14.0
0.12932872772216797,1.0,16.1,11.899999999999999,14.0
0.13949990272521973,1.0,16.1,11.899999999999999,14.0
0.14970707893371582,1.0,16.1,11.899999999999999,14.0
0.15989923477172852,1.0,16.1,11.899999999999999,14.0
0.17005395889282227,1.0,16.1,11.899999999999999,14.0
0.18026065826416016,1.0,16.1,11.899999999999999,14.0
0.1904449462890625,1.0,16.1,11.899999999999999,14.0
0.2005906105041504,1.0,16.1,11.899999999999999,14.0
0.21071887016296387,1.0,16.1,11.899999999999999,14.0
0.2208547592163086,1.0,16.1,11.899999999999999,14.0
0.23099970817565918,1.0,16.1,11.899999999999999,14.0
0.24114131927490234,1.0,16.1,11.899999999999999,14.0
0.2512693405151367,1.0,16.1,11.899999999999999,14.0
0.2613956928253174,1.0,16.1,11.899999999999999,14.0
0.2715187072753906,1.0,16.1,11.899999999999999,14.0
0.28165292739868164,1.0,16.1,11.899999999999999,14.0
0.29180288314819336,1.0,16.1,11.899999999999999,14.0
0.3019235134124756,1.0,16.1,11.899999999999999,14.0
0.3120431900024414,1.0,16.1,11.899999999999999,14.0
0.3221762180328369,1.0,16.1,11.899999999999999,14.0
0.33228468894958496,1.0,16.1,11.899999999999999,14.0
0.34240150451660156,1.0,16.1,11.899999999999999,14.0
0.35253381729125977,1.0,16.1,11.899999999999999,14.0
0.3626582622528076,1.0,16.1,11.899999999999999,14.0
0.372814416885376,1.0,16.1,11.899999999999999,14.0
0.3829782009124756,1.0,16.1,11.899999999999999,14.0
0.3931090831756592,1.0,16.1,11.899999999999999,14.0
0.4032707214355469,1.0,16.1,11.899999999999999,14.0
0.41342854499816895,1.0,16.1,11.899999999999999,14.0
0.42357420921325684,1.0,16.1,11.899999999999999,14.0
0.43375229835510254,1.0,16.1,11.899999999999999,14.0
0.4439542293548584,1.0,16.1,11.899999999999999,14.0
0.4541354179382324,1.0,16.1,11.899999999999999,14.0
0.4643058776855469,1.0,16.1,11.899999999999999,14.0
0.47446775436401367,1.0,16.1,11.899999999999999,14.0
0.4846205711364746,1.0,16.1,11.899999999999999,14.0
0.4947934150695801,1.0,16.1,11.899999999999999,14.0
0.5049469470977783,1.0,16.1,11.899999999999999,14.0
0.5151095390319824,1.0,16.1,11.899999999999999,14.0
0.5252456665039062,1.0,16.1,11.899999999999999,14.0
0.535435676574707,1.0,16.1,11.899999999999999,14.0
0.5455999374389648,1.0,16.1,11.899999999999999,14.0
0.5557515621185303,1.0,16.1,11.899999999999999,14.0
0.5659337043762207,1.0,16.1,11.899999999999999,14.0
0.5761034488677979,1.0,16.1,11.899999999999999,14.0
0.586280107498169,1.0,16.1,11.899999999999999,14.0
0.5964260101318359,1.0,16.1,11.899999999999999,14.0
0.6065711975097656,1.0,21.0,9.9,15.45
0.6167123317718506,1.0,21.0,9.9,15.45
0.6268899440765381,1.0,21.0,9.9,15.45
0.6370537281036377,1.0,21.0,9.9,15.45
0.6471922397613525,1.0,21.0,9.9,15.45
0.6573672294616699,1.0,21.0,9.9,15.45
0.667555570602417,1.0,21.0,9.9,15.45
0.6777112483978271,1.0,21.0,9.9,15.45
0.6878809928894043,1.0,21.0,9.9,15.45
0.698073148727417,1.0,21.0,9.9,15.45
0.7082266807556152,1.0,21.0,9.9,15.45
0.7183947563171387,1.0,21.0,9.9,15.45
0.7285552024841309,1.0,21.0,9.9,15.45
0.7386980056762695,1.0,21.0,9.9,15.45
0.7488658428192139,1.0,21.0,9.9,15.45
0.7590603828430176,1.0,21.0,9.9,15.45
0.7692275047302246,1.0,21.0,9.9,15.45
0.7794175148010254,1.0,21.0,9.9,15.45
0.7896130084991455,1.0,21.0,9.9,15.45
0.7997698783874512,1.0,21.0,9.9,15.45
0.8099501132965088,1.0,21.0,9.9,15.45
0.8201491832733154,1.0,21.0,9.9,15.45
0.8303079605102539,1.0,21.0,9.9,15.45
0.8404812812805176,1.0,21.0,9.9,15.45
0.8506646156311035,1.0,21.0,9.9,15.45
0.8608145713806152,1.0,21.0,9.9,15.45
0.8709535598754883,1.0,21.0,9.9,15.45
0.8811376094818115,1.0,21.0,9.9,15.45
0.8913021087646484,1.0,21.0,9.9,15.45
0.9014472961425781,1.0,21.0,9.9,15.45
0.9116215705871582,1.0,21.0,9.9,15.45
0.9218029975891113,1.0,21.0,9.9,15.45
0.9319913387298584,1.0,21.0,9.9,15.45
0.9421696662902832,1.0,21.0,9.9,15.45
0.952329158782959,1.0,21.0,9.9,15.45
0.9624710083007812,1.0,21.0,9.9,15.45
0.9726462364196777,1.0,21.0,9.9,15.45
0.9828076362609863,1.0,21.0,9.9,15.45
0.9929473400115967,1.0,21.0,9.9,15.45
1.003119945526123,1.0,21.0,9.9,15.45
1.0133240222930908,1.0,21.0,9.9,15.45
1.0234949588775635,1.0,21.0,9.9,15.45
1.0336980819702148,1.0,21.0,9.9,15.45
1.0439043045043945,1.0,21.0,9.9,15.45
1.0540618896484375,1.0,21.0,9.9,15.45
1.0642335414886475,1.0,21.0,9.9,15.45
1.0743975639343262,1.0,21.0,9.9,15.45
1.084540843963623,1.0,21.0,9.9,15.45
1.0947177410125732,1.0,21.0,9.9,15.45
1.1049089431762695,1.0,21.0,9.9,15.45
1.115067720413208,1.0,21.0,9.9,15.45
1.1252541542053223,1.0,21.0,9.9,15.45
